card_no,date,amount,currency_code,payment_exchange_rate,payment_amount,exchange_override,location_code
0987098709870987,15/03/2025,45.3,GBP,0.0,45.3,,GB
0987098709870987,12/03/2025,120.0,AUD,0.7249,120.0,,AU
0987098709870987,10/03/2025,250.75,GBP,0.0,250.75,,GB
0987098709870987,08/03/2025,80.2,AUD,1.045,80.2,,AU
0987098709870987,05/03/2025,15.99,GBP,0.0,15.99,,GB
0987098709870987,03/03/2025,65.4,AUD,1.0161,65.4,,AU
0987098709870987,28/02/2025,37.25,GBP,0.0,37.25,,GB
0987098709870987,25/02/2025,98.1,AUD,0.7294,98.1,,AU
0987098709870987,20/02/2025,55.0,GBP,0.0,55.0,,GB
0987098709870987,18/02/2025,110.75,AUD,1.082,110.75,,AU
0987098709870987,13/03/2025,477.57,GBP,0.0,477.57,,GB
0987098709870987,06/02/2025,487.81,AUD,0.5196,487.81,,AU
0987098709870987,17/02/2025,127.38,GBP,0.0,127.38,,GB
0987098709870987,08/03/2025,209.1,GBP,0.0,209.1,,GB
0987098709870987,03/03/2025,75.04,GBP,0.0,75.04,,GB
0987098709870987,19/02/2025,34.33,AUD,1.0382,34.33,,AU
0987098709870987,03/03/2025,85.16,AUD,1.2033,85.16,,AU
0987098709870987,11/02/2025,372.81,AUD,1.2552,372.81,,AU
0987098709870987,21/02/2025,190.26,AUD,1.3038,190.26,,AU
0987098709870987,05/03/2025,231.62,AUD,0.9508,231.62,,AU
